time,value
2026-08-24T05:50:26.964Z,"{""lat"":-37.78054772311451,""lon"":145.1645421445624}"
2026-08-24T05:50:27.965Z,"{""lat"":-37.78054772311451,""lon"":145.1645421445624}"
2026-08-24T05:50:28.967Z,"{""lat"":-37.78054772311451,""lon"":145.1645421445624}"
2026-08-24T05:50:29.968Z,"{""lat"":-37.78054772311451,""lon"":145.1645421445624}"
2026-08-24T05:50:30.97Z,"{""lat"":-37.78054772311451,""lon"":145.1645421445624}"
2026-08-24T05:50:31.971Z,"{""lat"":-37.78054772311451,""lon"":145.1645421445624}"
2026-08-24T05:50:32.974Z,"{""lat"":-37.78054772311451,""lon"":145.1645421445624}"
2026-08-24T05:50:33.975Z,"{""lat"":-37.78054772311451,""lon"":145.1645421445624}"
2026-08-24T05:50:34.977Z,"{""lat"":-37.78054772311451,""lon"":145.1645421445624}"
2026-08-24T05:50:35.979Z,"{""lat"":-37.78054772311451,""lon"":145.1645421445624}"
2026-08-24T05:50:36.981Z,"{""lat"":-37.78053799063675,""lon"":145.164521315284}"
2026-08-24T05:50:37.982Z,"{""lat"":-37.7805319096531,""lon"":145.16452845127608}"
2026-08-24T05:50:38.984Z,"{""lat"":-37.78053245472936,""lon"":145.1645247034283}"
2026-08-24T05:50:39.986Z,"{""lat"":-37.78053245472936,""lon"":145.1645247034283}"
2026-08-24T05:50:40.987Z,"{""lat"":-37.78053245472936,""lon"":145.1645247034283}"
2026-08-24T05:50:41.989Z,"{""lat"":-37.78053245472936,""lon"":145.1645247034283}"
2026-08-24T05:50:42.991Z,"{""lat"":-37.78053245472936,""lon"":145.1645247034283}"
2026-08-24T05:50:43.992Z,"{""lat"":-37.78053245472936,""lon"":145.1645247034283}"
2026-08-24T05:50:44.994Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:45.995Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:46.997Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:47.999Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:49.001Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:50.003Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:51.004Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:52.006Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:53.007Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:54.009Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:55.011Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:56.012Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:57.014Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:58.016Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:50:59.017Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:00.019Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:01.021Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:02.022Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:03.024Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:04.025Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:05.027Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:06.029Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:07.031Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:08.032Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:09.034Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:10.036Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:11.037Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:12.039Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:13.04Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
